index_name,January_2012,February_2012,March_2012,April_2012,May_2012,June_2012,July_2012,August_2012,September_2012,October_2012,November_2012,December_2012,January_2013,February_2013,March_2013,April_2013,May_2013,June_2013,July_2013,August_2013,September_2013,October_2013,November_2013,December_2013,January_2014,February_2014,March_2014,April_2014,May_2014,June_2014,July_2014,August_2014,September_2014,October_2014,November_2014,December_2014,January_2015,February_2015,March_2015,April_2015,May_2015,June_2015,July_2015,August_2015,September_2015,October_2015,November_2015,December_2015,January_2016,February_2016,March_2016,April_2016,May_2016,June_2016,July_2016,August_2016,September_2016,October_2016,November_2016,December_2016,January_2017,February_2017,March_2017,April_2017,May_2017,June_2017,July_2017,August_2017,September_2017,October_2017,November_2017,December_2017,01_2018,02_2018,03_2018,04_2018,05_2018,06_2018,07_2018,08_2018,09_2018,10_2018,11_2018,12_2018,01_2019,02_2019,03_2019,04_2019,05_2019,06_2019,07_2019,08_2019,09_2019,10_2019,11_2019,12_2019,01_2020,02_2020,03_2020,04_2020,05_2020,06_2020,07_2020,08_2020,09_2020,10_2020,11_2020,12_2020,01_2021,02_2021,03_2021,04_2021,05_2021,06_2021,07_2021,08_2021,09_2021,10_2021,11_2021,12_2021
RM-RM,7.0,7.3,7.954545454545454,8.333333333333334,8.863636363636363,10.285714285714286,7.809523809523809,7.434782608695652,9.0,11.0,11.68421052631579,9.11111111111111,8.666666666666666,9.052631578947368,8.666666666666666,9.090909090909092,11.863636363636363,11.45,9.318181818181818,10.681818181818182,8.85,8.909090909090908,9.166666666666666,10.31578947368421,8.571428571428571,12.947368421052632,9.857142857142858,10.181818181818182,9.761904761904763,11.476190476190476,10.227272727272727,12.333333333333334,13.523809523809524,12.954545454545455,12.705882352941176,15.894736842105264,14.368421052631579,12.157894736842104,13.363636363636363,14.636363636363637,13.15,14.5,15.409090909090908,14.0,15.952380952380953,13.238095238095237,13.555555555555555,12.45,12.68421052631579,13.25,10.73913043478261,13.095238095238095,12.0,11.727272727272727,11.2,12.0,12.714285714285714,13.25,10.789473684210526,11.105263157894736,16.7,14.473684210526315,13.521739130434783,10.8,12.318181818181818,13.181818181818182,12.736842105263158,14.826086956521738,14.3,13.428571428571429,14.052631578947368,13.631578947368421,12.761904761904763,16.05263157894737,17.0,13.904761904761905,15.318181818181818,13.904761904761905,15.238095238095237,14.826086956521738,20.105263157894736,16.227272727272727,16.157894736842106,16.166666666666668,17.904761904761905,21.31578947368421,16.047619047619047,21.5,21.181818181818183,26.9,27.954545454545453,26.59090909090909,25.4,27.863636363636363,27.444444444444443,25.526315789473685,19.857142857142858,21.894736842105264,12.590909090909092,6.181818181818182,6.3,7.7727272727272725,7.454545454545454,8.761904761904763,8.476190476190476,9.571428571428571,9.166666666666666,6.1,6.157894736842105,6.947368421052632,8.347826086956522,13.272727272727273,8.0,10.545454545454545,11.363636363636363,7.545454545454546,15.045454545454545,10.619047619047619,11.545454545454545,11.782608695652174
RM-EN,130.75,131.1,126.13636363636364,128.8095238095238,127.0909090909091,128.47619047619048,118.47619047619048,130.2173913043478,134.68421052631578,135.1818181818182,128.05263157894737,121.77777777777777,126.61904761904762,133.94736842105263,133.23809523809524,124.77272727272727,139.77272727272728,139.2,97.5,123.5,126.85,109.45454545454545,117.88888888888889,116.57894736842105,124.61904761904762,123.94736842105263,117.42857142857143,122.13636363636364,130.14285714285714,124.38095238095238,119.54545454545455,129.76190476190476,141.28571428571428,143.86363636363637,141.0,130.42105263157896,132.52631578947367,133.8421052631579,134.3181818181818,127.0909090909091,125.6,125.36363636363636,124.77272727272727,135.28571428571428,145.66666666666666,146.0,138.33333333333334,136.55,134.42105263157896,137.05,140.30434782608697,137.52380952380952,140.8095238095238,130.95454545454547,118.0,121.3913043478261,137.66666666666666,134.6,130.68421052631578,124.57894736842105,122.8,121.26315789473684,131.2608695652174,121.45,124.22727272727273,110.9090909090909,108.21052631578948,117.78260869565217,129.75,125.0,116.0,118.3157894736842,108.61904761904762,114.63157894736842,113.0,111.52380952380952,115.04545454545455,113.71428571428571,113.14285714285714,110.69565217391305,116.21052631578948,114.81818181818181,102.10526315789474,103.22222222222223,110.04761904761905,106.36842105263158,112.9047619047619,107.0,105.04545454545455,100.3,104.31818181818181,115.95454545454545,131.2,130.6818181818182,129.55555555555554,124.0,119.52380952380952,114.89473684210526,74.81818181818181,26.363636363636363,25.1,35.13636363636363,29.318181818181817,26.857142857142858,26.523809523809526,29.571428571428573,30.166666666666668,27.95,25.05263157894737,26.0,28.91304347826087,33.27272727272727,39.05,37.31818181818182,37.68181818181818,57.0,67.72727272727273,66.95238095238095,58.36363636363637,51.34782608695652
RM-EP,115.45,115.0,112.13636363636364,111.28571428571429,121.04545454545455,109.0952380952381,99.0,104.95652173913044,118.94736842105263,119.0909090909091,110.78947368421052,104.38888888888889,111.33333333333333,113.47368421052632,116.14285714285714,113.45454545454545,122.5909090909091,109.15,81.18181818181819,98.63636363636364,110.2,93.18181818181819,106.61111111111111,100.0,104.42857142857143,100.57894736842105,105.38095238095238,103.13636363636364,113.19047619047619,104.71428571428571,101.5,107.66666666666667,120.28571428571429,119.5,111.47058823529412,105.0,107.42105263157895,111.26315789473684,116.36363636363636,113.81818181818181,103.7,100.68181818181819,104.9090909090909,98.33333333333333,106.57142857142857,110.14285714285714,110.77777777777777,100.25,99.42105263157895,105.7,106.8695652173913,105.38095238095238,110.33333333333333,104.5,99.35,94.1304347826087,103.66666666666667,97.05,109.15789473684211,91.42105263157895,90.15,91.26315789473684,100.78260869565217,96.25,103.0909090909091,90.5909090909091,86.10526315789474,83.26086956521739,85.1,86.47619047619048,89.0,82.36842105263158,81.9047619047619,91.42105263157895,81.31818181818181,84.95238095238095,89.63636363636364,82.38095238095238,78.33333333333333,81.69565217391305,87.52631578947368,94.31818181818181,83.26315789473684,79.16666666666667,82.0952380952381,79.36842105263158,86.80952380952381,85.72727272727273,92.13636363636364,89.3,86.0909090909091,84.5909090909091,94.7,92.81818181818181,93.83333333333333,90.10526315789474,86.61904761904762,90.78947368421052,50.86363636363637,16.954545454545453,17.75,24.40909090909091,26.681818181818183,22.523809523809526,22.80952380952381,29.142857142857142,28.444444444444443,24.9,19.68421052631579,22.05263157894737,25.956521739130434,30.272727272727273,29.85,27.727272727272727,28.818181818181817,40.77272727272727,46.0,47.095238095238095,41.68181818181818,43.04347826086956
RM-NB,86.45,100.9,97.81818181818181,100.42857142857143,108.0909090909091,86.28571428571429,84.66666666666667,84.34782608695652,114.15789473684211,113.13636363636364,106.6842105263158,103.61111111111111,102.19047619047619,124.89473684210526,121.95238095238095,114.0,134.54545454545453,102.95,59.36363636363637,96.36363636363636,136.4,113.31818181818181,119.27777777777777,114.10526315789474,116.80952380952381,130.1578947368421,120.71428571428571,121.5909090909091,129.04761904761904,100.47619047619048,84.72727272727273,107.85714285714286,141.42857142857142,128.27272727272728,121.82352941176471,103.89473684210526,128.94736842105263,135.52631578947367,124.5909090909091,124.9090909090909,135.85,90.4090909090909,71.86363636363636,90.38095238095238,110.80952380952381,108.0952380952381,98.0,88.5,85.21052631578948,88.8,87.69565217391305,92.66666666666667,97.28571428571429,71.4090909090909,70.9,80.91304347826087,93.33333333333333,89.05,88.47368421052632,66.63157894736842,73.6,73.6842105263158,83.1304347826087,76.3,78.45454545454545,67.77272727272727,55.73684210526316,65.73913043478261,83.3,78.9047619047619,74.63157894736842,64.84210526315789,64.95238095238095,72.10526315789474,72.81818181818181,67.71428571428571,79.5909090909091,66.42857142857143,62.76190476190476,69.91304347826087,77.63157894736842,79.5,67.36842105263158,64.33333333333333,65.71428571428571,65.6842105263158,69.76190476190476,66.18181818181819,68.27272727272727,65.65,66.0909090909091,68.86363636363636,73.75,76.68181818181819,70.66666666666667,64.26315789473684,70.23809523809524,70.94736842105263,41.72727272727273,17.772727272727273,18.0,22.863636363636363,23.363636363636363,21.857142857142858,21.80952380952381,22.428571428571427,22.77777777777778,21.2,19.157894736842106,20.05263157894737,19.565217391304348,22.90909090909091,23.15,25.636363636363637,28.454545454545453,31.363636363636363,31.454545454545453,30.904761904761905,31.318181818181817,27.91304347826087
RM-BK,368.8,419.35,406.8181818181818,408.9047619047619,408.3636363636364,383.57142857142856,380.95238095238096,393.30434782608694,465.2631578947368,456.1818181818182,451.36842105263156,365.44444444444446,386.76190476190476,452.7368421052632,444.2857142857143,447.8636363636364,436.6363636363636,408.7,341.72727272727275,401.3636363636364,485.9,431.8636363636364,471.44444444444446,408.1578947368421,442.04761904761904,498.2631578947368,477.14285714285717,471.8636363636364,455.0952380952381,441.6190476190476,447.77272727272725,447.76190476190476,539.6190476190476,519.9090909090909,504.7647058823529,405.57894736842104,459.2631578947368,526.2631578947369,505.0,498.54545454545456,449.0,443.1818181818182,436.6818181818182,430.3333333333333,506.85714285714283,503.57142857142856,489.3333333333333,406.65,400.2105263157895,483.2,441.4782608695652,461.23809523809524,441.23809523809524,447.45454545454544,451.45,429.0869565217391,506.57142857142856,496.25,483.1578947368421,378.4736842105263,415.2,474.94736842105266,477.7391304347826,452.75,423.04545454545456,394.1818181818182,397.57894736842104,401.5652173913044,450.2,449.6666666666667,437.10526315789474,347.7894736842105,365.6190476190476,426.5263157894737,407.27272727272725,397.42857142857144,373.59090909090907,369.23809523809524,379.04761904761904,388.0,446.63157894736844,437.6363636363636,396.57894736842104,326.55555555555554,354.57142857142856,419.57894736842104,403.7142857142857,412.0,408.09090909090907,379.45,374.40909090909093,419.72727272727275,492.6,460.27272727272725,453.3333333333333,361.4736842105263,389.5238095238095,443.05263157894734,215.77272727272728,39.09090909090909,50.45,65.5909090909091,77.45454545454545,84.71428571428571,81.9047619047619,81.57142857142857,81.5,68.55,66.05263157894737,66.94736842105263,72.17391304347827,81.63636363636364,91.35,94.68181818181819,101.68181818181819,144.63636363636363,188.0909090909091,191.95238095238096,173.0909090909091,147.0
RM-AS,107.9,114.95,116.22727272727273,113.47619047619048,120.72727272727273,121.57142857142857,114.19047619047619,105.52173913043478,112.42105263157895,112.77272727272727,104.73684210526316,99.72222222222223,100.66666666666667,106.84210526315789,108.95238095238095,103.9090909090909,119.68181818181819,119.75,90.95454545454545,109.22727272727273,115.9,99.63636363636364,104.77777777777777,100.52631578947368,111.71428571428571,110.84210526315789,111.66666666666667,114.63636363636364,121.0952380952381,122.23809523809524,115.9090909090909,120.52380952380952,120.61904761904762,119.81818181818181,126.76470588235294,110.10526315789474,117.0,119.6842105263158,113.36363636363636,117.45454545454545,119.8,110.86363636363636,110.0,109.0,111.47619047619048,111.38095238095238,108.33333333333333,98.65,105.47368421052632,114.15,105.47826086956522,107.95238095238095,106.04761904761905,110.04545454545455,106.55,104.73913043478261,112.33333333333333,108.65,107.3157894736842,97.6842105263158,100.2,100.0,106.17391304347827,101.3,112.77272727272727,107.04545454545455,104.26315789473684,97.82608695652173,107.1,103.14285714285714,104.94736842105263,96.47368421052632,101.57142857142857,104.3157894736842,106.5909090909091,101.80952380952381,103.04545454545455,101.23809523809524,95.76190476190476,95.78260869565217,99.36842105263158,105.0909090909091,92.10526315789474,87.61111111111111,93.9047619047619,84.3157894736842,87.04761904761905,90.04545454545455,94.5909090909091,95.4,97.4090909090909,93.95454545454545,101.25,97.27272727272727,100.27777777777777,86.78947368421052,93.47619047619048,98.52631578947368,52.18181818181818,18.772727272727273,18.2,22.40909090909091,23.681818181818183,23.428571428571427,24.61904761904762,25.333333333333332,23.944444444444443,23.5,22.68421052631579,23.42105263157895,22.17391304347826,26.863636363636363,30.35,32.45454545454545,30.136363636363637,37.09090909090909,43.77272727272727,45.857142857142854,39.22727272727273,35.869565217391305
RM-MA,171.05,176.45,171.86363636363637,160.38095238095238,173.86363636363637,166.95238095238096,159.95238095238096,177.17391304347825,191.10526315789474,185.5,168.10526315789474,162.55555555555554,164.9047619047619,175.31578947368422,169.47619047619048,175.27272727272728,182.36363636363637,164.4,127.72727272727273,164.22727272727272,175.85,143.95454545454547,157.94444444444446,157.26315789473685,159.71428571428572,167.73684210526315,170.0952380952381,159.72727272727272,169.33333333333334,164.28571428571428,157.27272727272728,157.95238095238096,170.0,169.0909090909091,165.0,145.94736842105263,163.78947368421052,180.68421052631578,181.9090909090909,182.5909090909091,175.4,167.6818181818182,154.0909090909091,169.04761904761904,176.33333333333334,180.71428571428572,165.11111111111111,144.1,151.31578947368422,159.85,160.17391304347825,161.76190476190476,156.0,143.13636363636363,141.3,156.95652173913044,166.95238095238096,156.15,157.89473684210526,141.05263157894737,145.15,146.10526315789474,153.95652173913044,143.25,151.9090909090909,147.8181818181818,131.73684210526315,139.91304347826087,151.25,152.66666666666666,143.26315789473685,142.21052631578948,138.04761904761904,139.52631578947367,124.63636363636364,133.8095238095238,149.13636363636363,135.0952380952381,117.80952380952381,126.65217391304348,133.8421052631579,143.22727272727272,126.89473684210526,126.05555555555556,124.80952380952381,123.52631578947368,134.0952380952381,128.5,138.1818181818182,129.4,132.0909090909091,142.63636363636363,146.45,148.4090909090909,147.77777777777777,137.26315789473685,140.0,148.8421052631579,84.4090909090909,30.272727272727273,33.5,37.54545454545455,41.18181818181818,42.904761904761905,38.476190476190474,40.285714285714285,35.55555555555556,32.1,31.157894736842106,36.421052631578945,41.21739130434783,44.13636363636363,46.0,61.45454545454545,50.63636363636363,64.45454545454545,64.13636363636364,65.0952380952381,63.04545454545455,62.34782608695652
RM-19,150.95,160.6,155.22727272727272,143.61904761904762,159.04545454545453,153.8095238095238,150.23809523809524,151.17391304347825,160.0,160.54545454545453,166.05263157894737,149.77777777777777,153.33333333333334,162.6315789473684,160.47619047619048,157.36363636363637,157.0909090909091,140.2,116.4090909090909,146.0,151.5,133.8181818181818,143.44444444444446,133.89473684210526,151.0952380952381,158.89473684210526,152.1904761904762,151.45454545454547,166.33333333333334,150.66666666666666,158.3181818181818,162.33333333333334,168.61904761904762,164.04545454545453,161.23529411764707,157.1578947368421,164.8421052631579,166.21052631578948,172.8181818181818,168.6818181818182,162.2,183.4090909090909,163.5909090909091,160.66666666666666,163.61904761904762,157.28571428571428,160.77777777777777,142.15,154.6315789473684,151.35,146.34782608695653,149.28571428571428,155.42857142857142,169.86363636363637,156.75,160.69565217391303,173.0952380952381,166.5,163.05263157894737,144.57894736842104,147.45,147.89473684210526,149.95652173913044,150.15,147.45454545454547,167.5,147.31578947368422,146.52173913043478,149.35,158.04761904761904,158.89473684210526,143.94736842105263,149.1904761904762,159.78947368421052,154.5,145.57142857142858,161.63636363636363,180.8095238095238,147.38095238095238,151.30434782608697,170.52631578947367,174.22727272727272,160.42105263157896,149.61111111111111,162.95238095238096,159.26315789473685,160.8095238095238,163.5,161.63636363636363,160.6,159.22727272727272,158.72727272727272,165.3,170.5,160.16666666666666,151.57894736842104,168.61904761904762,181.1578947368421,90.9090909090909,16.045454545454547,19.05,25.5,27.0,26.476190476190474,28.952380952380953,30.476190476190474,27.22222222222222,23.55,22.63157894736842,25.736842105263158,28.869565217391305,31.181818181818183,32.8,35.68181818181818,30.954545454545453,34.27272727272727,42.72727272727273,43.476190476190474,41.13636363636363,38.69565217391305
RM-12,180.2,182.9,181.5909090909091,186.23809523809524,192.0909090909091,187.9047619047619,178.61904761904762,176.8695652173913,195.57894736842104,194.8181818181818,191.26315789473685,176.94444444444446,188.0,194.6315789473684,191.52380952380952,198.63636363636363,200.3181818181818,195.75,157.3181818181818,190.1818181818182,197.9,170.77272727272728,191.77777777777777,177.78947368421052,185.33333333333334,203.10526315789474,196.23809523809524,198.5909090909091,203.95238095238096,201.61904761904762,196.5909090909091,194.38095238095238,219.85714285714286,218.86363636363637,219.7058823529412,205.73684210526315,211.31578947368422,215.47368421052633,209.3181818181818,206.63636363636363,204.55,239.45454545454547,219.63636363636363,207.23809523809524,218.42857142857142,220.28571428571428,214.94444444444446,196.3,216.73684210526315,223.8,205.30434782608697,205.28571428571428,195.9047619047619,203.0,203.5,193.52173913043478,198.1904761904762,185.95,192.78947368421052,179.68421052631578,188.3,187.1578947368421,189.3913043478261,177.4,179.86363636363637,204.77272727272728,176.47368421052633,178.7826086956522,187.1,192.66666666666666,192.94736842105263,177.1578947368421,180.0952380952381,190.26315789473685,185.5,179.76190476190476,189.04545454545453,204.47619047619048,194.61904761904762,193.0,207.94736842105263,201.54545454545453,189.0,166.72222222222223,168.76190476190476,171.10526315789474,174.9047619047619,173.04545454545453,176.3181818181818,172.35,175.8181818181818,179.3181818181818,184.5,189.1818181818182,191.11111111111111,174.21052631578948,183.04761904761904,184.57894736842104,93.9090909090909,25.727272727272727,26.45,30.181818181818183,31.318181818181817,34.42857142857143,37.857142857142854,39.19047619047619,37.94444444444444,37.9,40.10526315789474,40.21052631578947,38.0,40.09090909090909,41.55,42.77272727272727,43.5,48.54545454545455,51.72727272727273,56.57142857142857,55.86363636363637,55.30434782608695
RM-LM,40.4,54.05,50.04545454545455,47.19047619047619,49.09090909090909,41.19047619047619,43.476190476190474,52.26086956521739,60.10526315789474,59.40909090909091,56.0,46.611111111111114,46.523809523809526,56.68421052631579,50.80952380952381,53.27272727272727,51.04545454545455,44.55,38.13636363636363,50.81818181818182,66.2,54.86363636363637,53.111111111111114,48.1578947368421,49.04761904761905,58.0,55.523809523809526,49.5,54.142857142857146,50.523809523809526,50.27272727272727,55.61904761904762,65.23809523809524,67.27272727272727,59.529411764705884,48.0,52.21052631578947,61.21052631578947,57.0,54.09090909090909,54.2,59.77272727272727,51.40909090909091,47.04761904761905,67.0952380952381,64.38095238095238,62.05555555555556,47.3,45.21052631578947,58.95,49.869565217391305,51.38095238095238,53.0,41.81818181818182,45.6,46.391304347826086,55.285714285714285,51.85,49.1578947368421,35.8421052631579,42.25,49.68421052631579,48.47826086956522,47.35,44.95454545454545,50.31818181818182,45.94736842105263,48.78260869565217,48.9,49.04761904761905,47.8421052631579,40.21052631578947,37.57142857142857,45.473684210526315,45.81818181818182,42.0,44.04545454545455,46.57142857142857,39.476190476190474,39.65217391304348,45.526315789473685,45.18181818181818,41.05263157894737,36.5,45.38095238095238,56.63157894736842,45.666666666666664,46.31818181818182,44.90909090909091,41.3,47.72727272727273,47.5,57.6,52.81818181818182,46.111111111111114,37.36842105263158,45.76190476190476,51.36842105263158,24.59090909090909,7.909090909090909,9.35,13.272727272727273,10.363636363636363,12.19047619047619,12.761904761904763,15.095238095238095,10.555555555555555,9.65,8.526315789473685,9.578947368421053,10.391304347826088,11.863636363636363,12.8,12.909090909090908,12.318181818181818,13.636363636363637,13.409090909090908,11.619047619047619,12.318181818181818,12.391304347826088
